date,value
2022-09-23,3348.6
2022-09-26,3342.56
2022-09-27,3328.65
2022-09-28,3335.3
2022-09-29,3279.04
2022-09-30,3318.2
2022-10-03,3342.17
2022-10-04,3484.48
2022-10-05,3447.72
2022-10-06,3433.45
2022-10-07,3375.46
2022-10-10,3356.88
2022-10-11,3340.35
2022-10-12,3331.53
2022-10-13,3362.4
2022-10-14,3381.73
2022-10-17,3441.64
2022-10-18,3463.83
2022-10-19,3471.24
2022-10-20,3492.85
2022-10-21,3476.63
2022-10-24,3527.79
2022-10-25,3585.58
2022-10-26,3605.31
2022-10-27,3604.51
2022-10-28,3613.02
2022-10-31,3617.54
2022-11-01,3651.02
2022-11-02,3622.01
2022-11-03,3593.18
2022-11-04,3688.33
2022-11-07,3708.8
2022-11-08,3739.28
2022-11-09,3728.03
2022-11-10,3846.56
2022-11-11,3868.5
2022-11-14,3887.51
2022-11-15,3915.09
2022-11-16,3882.78
2022-11-17,3878.42
2022-11-18,3924.84
2022-11-21,3909.28
2022-11-22,3929.9
2022-11-23,3946.44
2022-11-24,3961.99
2022-11-25,3962.41
2022-11-28,3935.51
2022-11-29,3934.44
2022-11-30,3964.72
2022-12-01,3984.5
2022-12-02,3977.9
2022-12-05,3956.53
2022-12-06,3939.19
2022-12-07,3920.9
2022-12-08,3921.27
2022-12-09,3942.62
2022-12-12,3921.82
2022-12-13,3986.83
2022-12-14,3975.26
2022-12-15,3835.7
2022-12-16,3804.02
2022-12-19,3811.24
2022-12-20,3802.49
2022-12-21,3872.15
2022-12-22,3823.29
2022-12-23,3817.01
2022-12-27,3832.89
2022-12-28,3808.82
2022-12-29,3850.07
2022-12-30,3793.62
2023-01-02,3856.09
2023-01-03,3882.29
2023-01-04,3973.97
2023-01-05,3959.48
2023-01-06,4017.83
2023-01-09,4068.62
2023-01-10,4057.46
2023-01-11,4099.76
2023-01-12,4126.68
2023-01-13,4150.8
2023-01-16,4157.0
2023-01-17,4174.33
2023-01-18,4174.34
2023-01-19,4094.28
2023-01-20,4119.9
2023-01-23,4150.82
2023-01-24,4153.02
2023-01-25,4148.11
2023-01-26,4173.98
2023-01-27,4178.01
2023-01-30,4158.63
2023-01-31,4163.45
2023-02-01,4171.44
2023-02-02,4241.12
2023-02-03,4257.98
2023-02-06,4205.45
2023-02-07,4209.31
2023-02-08,4209.15
2023-02-09,4250.14
2023-02-10,4197.94
2023-02-13,4241.36
2023-02-14,4238.76
2023-02-15,4280.04
2023-02-16,4297.24
2023-02-17,4274.92
2023-02-20,4271.18
2023-02-21,4250.4
2023-02-22,4242.88
2023-02-23,4258.16
2023-02-24,4178.82
2023-02-27,4248.01
2023-02-28,4238.38
2023-03-01,4215.75
2023-03-02,4240.59
2023-03-03,4294.8
2023-03-06,4313.78
2023-03-07,4278.96
2023-03-08,4288.45
2023-03-09,4286.12
2023-03-10,4229.53
2023-03-13,4096.54
2023-03-14,4179.47
2023-03-15,4034.92
2023-03-16,4116.98
2023-03-17,4064.99
2023-03-20,4119.42
2023-03-21,4181.6
2023-03-22,4195.7
2023-03-23,4207.14
2023-03-24,4110.99
2023-03-27,4164.62
2023-03-28,4168.21
2023-03-29,4231.27
2023-03-30,4285.42
2023-03-31,4315.05
2023-04-03,4311.05
2023-04-04,4315.32
2023-04-05,4298.36
2023-04-06,4309.45
2023-04-11,4333.29
2023-04-12,4334.03
2023-04-13,4363.24
2023-04-14,4390.75
2023-04-17,4367.61
2023-04-18,4393.95
2023-04-19,4393.57
2023-04-20,4384.86
2023-04-21,4408.59
2023-04-24,4401.8
2023-04-25,4377.85
2023-04-26,4347.71
2023-04-27,4358.05
2023-04-28,4359.31
2023-05-01,4359.31
2023-05-02,4294.85
2023-05-03,4310.18
2023-05-04,4287.03
2023-05-05,4340.43
2023-05-08,4348.65
2023-05-09,4323.09
2023-05-10,4306.76
2023-05-11,4309.75
2023-05-12,4317.88
2023-05-15,4316.41
2023-05-16,4315.51
2023-05-17,4323.23
2023-05-18,4367.45
2023-05-19,4395.3
2023-05-22,4385.63
2023-05-23,4342.38
2023-05-24,4263.74
2023-05-25,4269.64
